"Category","Value","sonnei","flexneri","boydii","dysenteriae","unknown","Total"
"SVI Quartile","1","3684 (64.0)","955 (16.6)","34 (0.6)","17 (0.3)","1066 (18.5)","5756 (100.0)"
"SVI Quartile","2","5125 (66.3)","1243 (16.1)","46 (0.6)","15 (0.2)","1305 (16.9)","7734 (100.0)"
"SVI Quartile","3","6493 (67.1)","1503 (15.5)","59 (0.6)","18 (0.2)","1603 (16.6)","9676 (100.0)"
"SVI Quartile","4","9738 (67.8)","2401 (16.7)","94 (0.7)","20 (0.1)","2120 (14.7)","14373 (100.0)"
"SVI Quartile",NA,"932 (67.0)","268 (19.3)","15 (1.1)","4 (0.3)","172 (12.4)","1391 (100.0)"
"Age Group","0-17","15980 (79.2)","1438 (7.1)","78 (0.4)","20 (0.1)","2670 (13.2)","20186 (100.0)"
"Age Group","18-29","2795 (55.1)","1385 (27.3)","38 (0.7)","14 (0.3)","841 (16.6)","5073 (100.0)"
"Age Group","30-39","2581 (55.0)","1258 (26.8)","35 (0.7)","12 (0.3)","803 (17.1)","4689 (100.0)"
"Age Group","40-49","1781 (50.7)","1104 (31.4)","28 (0.8)","9 (0.3)","592 (16.8)","3514 (100.0)"
"Age Group","50+","2815 (51.8)","1182 (21.7)","69 (1.3)","19 (0.3)","1353 (24.9)","5438 (100.0)"
"Age Group","Unknown","20 (66.7)","3 (10.0)",NA,NA,"7 (23.3)","30 (100.0)"
"Race/Ethnicity","AmInd-AKNat","441 (79.7)","63 (11.4)","4 (0.7)","1 (0.2)","44 (8.0)","553 (100.0)"
"Race/Ethnicity","Asian-NH","325 (40.8)","185 (23.2)","15 (1.9)","4 (0.5)","268 (33.6)","797 (100.0)"
"Race/Ethnicity","Black-NH","5594 (64.6)","1852 (21.4)","44 (0.5)","13 (0.2)","1159 (13.4)","8662 (100.0)"
"Race/Ethnicity","Multiracial-NH","208 (73.2)","36 (12.7)","2 (0.7)","1 (0.4)","37 (13.0)","284 (100.0)"
"Race/Ethnicity","NatHwn-PI","30 (40.0)","25 (33.3)",NA,NA,"20 (26.7)","75 (100.0)"
"Race/Ethnicity","Other-NH","99 (42.7)","51 (22.0)","2 (0.9)","1 (0.4)","79 (34.1)","232 (100.0)"
"Race/Ethnicity","White-NH","9460 (68.8)","1873 (13.6)","66 (0.5)","26 (0.2)","2324 (16.9)","13749 (100.0)"
"Race/Ethnicity","Hispanic","3946 (61.4)","1282 (20.0)","70 (1.1)","10 (0.2)","1115 (17.4)","6423 (100.0)"
"Race/Ethnicity","Unknown","5869 (72.0)","1003 (12.3)","45 (0.6)","18 (0.2)","1220 (15.0)","8155 (100.0)"
"Gender","Female","13231 (73.7)","1506 (8.4)","131 (0.7)","47 (0.3)","3033 (16.9)","17948 (100.0)"
"Gender","Male","12622 (60.6)","4844 (23.3)","116 (0.6)","27 (0.1)","3225 (15.5)","20834 (100.0)"
"Gender","Unknown","119 (80.4)","20 (13.5)","1 (0.7)",NA,"8 (5.4)","148 (100.0)"
